Designator,Mid X,Mid Y,Rotation,Layer
BT1,100.0,-100.0,0.0,bottom
C1,109.02,-102.25,270.0,top
C2,109.02,-97.75,90.0,top
C3,97.33,-100.18,90.0,top
C4,96.51,-100.2,90.0,top
D0,110.0,-106.64,90.0,top
D1,92.5,-93.05,270.0,top
D2,97.5,-93.05,270.0,top
D3,102.5,-93.05,270.0,top
D4,107.5,-93.05,270.0,top
D5,90.0,-106.64,90.0,top
D6,94.0,-106.64,90.0,top
D7,98.0,-106.64,90.0,top
D8,102.0,-106.64,90.0,top
D9,106.0,-106.64,90.0,top
R0,108.5,-110.5,270.0,top
R1,92.5,-89.0,90.0,top
R2,97.5,-89.0,90.0,top
R3,102.5,-89.0,90.0,top
R4,107.5,-89.0,90.0,top
R5,91.5,-110.5,270.0,top
R6,94.75,-110.5,270.0,top
R7,98.375,-110.5,270.0,top
R8,101.625,-110.5,270.0,top
R9,105.25,-110.5,270.0,top
U1,100.0,-100.0,0.0,top
Y1,105.02,-100.0,0.0,top
